id_category;id_shop;id_lang;name;description;link_rewrite;meta_title;meta_keywords;meta_description;
"1";"1";"1";"ROOT";"";"root";"";"";"";
"2";"1";"1";"INICIO";"";"home";"";"";"";
"434";"1";"1";"BELLEZA UNISEX";"
Bienvenido a Belleza unisex, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra protectores labiales, geles para masajes, moldeadores y anticelulitis";"belleza-unisex";"BELLEZA UNISEX - FARMALISTO";"protectores labiales,geles para masajes,moldeadores y anticelulitis";"Encuentra gran variedad de marcas y productos de uso unisex en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"453";"1";"1";"CEPILLOS DENTALES";"CEPILLOS DENTALES";"cepillos-dentales";"CEPILLOS DENTALES";"";"CEPILLOS DENTALES";
"452";"1";"1";"PROTECCIÓN Y ASEO UNISEX";"
Bienvenido a Protección y aseo Unisex, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra Antitranspirantes, jabones, protectores solares, bronceadores, shampoo, talcos y aerosoles.";"proteccion-y-aseo-unisex";"PROTECCIÓN Y ASEO UNISEX - FARMALISTO";"Antitranspirantes,jabones,protectores solares,bronceadores,shampoo,talcos y aerosoles";"Encuentra gran variedad de marcas y productos de uso mixto en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"451";"1";"1";"PROTECCIÓN Y ASEO MASCULINO";"
Bienvenido a Protección y aseo masculino, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra antitranspirantes, espumas gel y cremas para afeitar, máquinas de afeitar y shampoo para hombre.";"proteccion-y-aseo-masculino";"PROTECCIÓN Y ASEO MASCULINO - FARMALISTO";"antitranspirantes,espumas gel y cremas para afeitar,máquinas de afeitar y shampoo para hombre";"Encuentra gran variedad de marcas y productos para el hombre en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"450";"1";"1";"PROTECCIÓN Y ASEO FEMENINO";"
Bienvenido a Protección y Aseo Femenino, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra Antitranspirantes, cremas y lociones corporales, jabones, máquinas de afeitar, pañitos, protectores, tapones y toallas, shampoo y tratamientos, talcos y aerosoles.";"proteccion-y-aseo-femenino";"PROTECCIÓN Y ASEO FEMENINO - FARMALISTO";"Antitranspirantes,cremas y lociones corporales,jabones,máquinas de afeitar,pañitos,protectores,tapones y toallas,shampoo y tratamientos,talcos y aerosoles";"Encuentra gran variedad de marcas y productos para la mujer en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"449";"1";"1";"PAÑALES PARA ADULTO";"
Bienvenido a pañales para adulto, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra las marcas y referencias más importantes del mercado, total confidencialidad en tus compras, compra online y paga en casa con efectivo, haz tus pedidos fácilmente, servicio a domicilio en Bogotá, Medellín, Cali, Barranquilla, Bucaramanga, Cúcuta, Ibagué, Pereira, Pasto y demás ciudades de Colombia, garantizamos el mejor precio.
Línea Gratuita Nacional: 018009133830 - Bogotá: 220 52 49";"panales-para-adulto";"PAÑALES PARA ADULTO - CONFIDENCIALIDAD TOTAL";"plenitud active,tena,pañales,plenitud classic,unisex,grande,practipañal";"Encuentra gran variedad de marcas y productos para adultos en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"446";"1";"1";"TINTES";"
Bienvenido a Tintes, encontrarás gran variedad de productos y de marcas al mejor precio.";"tintes";"COMPRAR TINTES PARA EL CABELLO AL MEJOR PRECIO";"";"Para lucir un hermoso cabello. Entregas en toda Colombia.";
"445";"1";"1";"PERFUMES";"PERFUMES";"perfumes";"PERFUMES";"";"PERFUMES";
"444";"1";"1";"PANTIMEDIAS";"PANTIMEDIAS";"pantimedias";"PANTIMEDIAS";"";"PANTIMEDIAS";
"443";"1";"1";"POLVOS RUBORES SOMBRAS";"POLVOS, RUBORES, SOMBRAS";"polvos-rubores-sombras";"POLVOS, RUBORES, SOMBRAS";"";"POLVOS, RUBORES, SOMBRAS";
