id_feature_value;id_lang;value;
"15";"1";"CLORANFENICOL,CLOSTRIDIOPEPTIDASA A (COLAGENASA)";
"16";"1";"CAJA";
"20450";"1";"Frasco";
"18";"1";"CAJA";
"19";"1";"30 Cápsulas";
"20";"1";"Caja";
"21";"1";"30 Cápsulas";
"22";"1";"Frasco";
"23";"1";"260 g";
"24";"1";"Frasco";
"25";"1";"360 ml";
"26";"1";"Caja";
"27";"1";"12 Sobres X 4";
"28";"1";"Frasco";
"29";"1";"120 ml";
"30";"1";"Tubo";
"31";"1";"30 g";
"32";"1";"Frasco";
"33";"1";"120 ml";
"34";"1";"Frasco";
"35";"1";"60 Cápsulas";
"36";"1";"Caja";
"37";"1";"30 Cápsulas";
"38";"1";"Frasco";
"39";"1";"360 ml";
"40";"1";"Tubo";
"41";"1";"60 ml";
"42";"1";"Caja";
"43";"1";"3 X 100 ml";
"44";"1";"Tubo";
"45";"1";"30 g";
"46";"1";"Frasco";
"47";"1";"50 Cápsulas";
"48";"1";"Caja";
"49";"1";"30 Tabletas";
"50";"1";"Frasco";
"51";"1";"350 g";
"52";"1";"Frasco";
"53";"1";"180 ml";
"54";"1";"Frasco";
"55";"1";"300 g";
"56";"1";"Frasco";
"57";"1";"100 Tabletas";
"58";"1";"Frasco";
"59";"1";"120 g";
"60";"1";"Frasco";
"61";"1";"350 g";
"62";"1";"Frasco";
"63";"1";"60 Cápsulas";
"64";"1";"Caja";
"65";"1";"20 Cápsulas";
"66";"1";"Caja";
"67";"1";"12 Cápsulas";
"68";"1";"Caja";
"69";"1";"30 Cápsulas";
"70";"1";"Frasco";
"71";"1";"30 Cápsulas";
"72";"1";"Caja";
"73";"1";"240 ml";
"74";"1";"Frasco";
"75";"1";"240 ml";
"76";"1";"Caja";
"77";"1";"30 Tabletas";
"78";"1";"Frasco";
"79";"1";"60 Cápsulas";
"80";"1";"Frasco";
"81";"1";"350 g";
"82";"1";"Frasco";
"83";"1";"60 Cápsulas";
"84";"1";"Frasco";
"85";"1";"50 Cápsulas";
"86";"1";"Frasco";
"87";"1";"100 Cápsulas";
"88";"1";"Frasco";
