id_favorite_product;id_product;id_customer;id_shop;date_add;date_upd;
"1";"3455";"73";"1";"2013-12-10 10:29:10";"2013-12-10 10:29:10";
"2";"7098";"136";"1";"2014-01-02 15:22:05";"2014-01-02 15:22:05";
"3";"6643";"406";"1";"2014-02-17 16:17:24";"2014-02-17 16:17:24";
"4";"1782";"521";"1";"2014-03-03 13:00:38";"2014-03-03 13:00:38";
"5";"987";"553";"1";"2014-03-08 09:45:00";"2014-03-08 09:45:00";
"6";"2628";"553";"1";"2014-03-08 09:46:15";"2014-03-08 09:46:15";
"7";"1890";"553";"1";"2014-03-08 09:46:58";"2014-03-08 09:46:58";
"8";"1714";"553";"1";"2014-03-08 10:35:46";"2014-03-08 10:35:46";
"9";"2327";"553";"1";"2014-03-08 10:36:15";"2014-03-08 10:36:15";
"10";"4904";"553";"1";"2014-03-08 10:36:42";"2014-03-08 10:36:42";
"11";"7335";"553";"1";"2014-03-11 15:07:21";"2014-03-11 15:07:21";
"12";"3944";"553";"1";"2014-03-11 15:11:08";"2014-03-11 15:11:08";
"13";"4278";"553";"1";"2014-03-11 15:13:49";"2014-03-11 15:13:49";
"14";"5445";"127";"1";"2014-03-13 15:34:48";"2014-03-13 15:34:48";
