id_order;reference;id_shop_group;id_shop;id_carrier;id_lang;id_customer;id_cart;id_currency;id_address_delivery;id_address_invoice;current_state;secure_key;payment;conversion_rate;module;recyclable;gift;gift_message;mobile_theme;shipping_number;total_discounts;total_discounts_tax_incl;total_discounts_tax_excl;total_paid;total_paid_tax_incl;total_paid_tax_excl;total_paid_real;total_products;total_products_wt;total_shipping;total_shipping_tax_incl;total_shipping_tax_excl;carrier_tax_rate;total_wrapping;total_wrapping_tax_incl;total_wrapping_tax_excl;invoice_number;delivery_number;invoice_date;delivery_date;valid;date_add;date_upd;
"1";"XKBKNABJK";"1";"1";"2";"1";"1";"1";"1";"2";"2";"6";"47ce86627c1f3c792a80773c5d2deaf8";"Chèque";"1.000000";"cheque";"0";"0";"";"0";"";"0.00";"0.00";"0.00";"626.37";"626.37";"523.72";"0.00";"516.72";"618.00";"7.98";"8.37";"7.00";"19.600";"0.00";"0.00";"0.00";"1";"0";"2013-10-17 10:46:28";"0000-00-00 00:00:00";"0";"2013-09-21 08:56:30";"2013-10-17 10:46:28";
"2";"GTLOUJQDN";"1";"1";"3";"1";"2";"2";"1";"5";"5";"6";"d02df2fc7d03162863a3fb66fd540435";"PayU Latam";"1.000000";"payulatam";"0";"0";"";"0";"";"0.00";"0.00";"0.00";"3540.00";"3540.00";"3300.00";"0.00";"1800.00";"1800.00";"1740.00";"1740.00";"1500.00";"16.000";"0.00";"0.00";"0.00";"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0";"2013-10-03 16:28:18";"2013-10-03 16:37:56";
"3";"XOCSYRQCW";"1";"1";"3";"1";"2";"3";"1";"5";"5";"6";"d02df2fc7d03162863a3fb66fd540435";"PayU Latam";"1.000000";"payulatam";"0";"0";"";"0";"";"0.00";"0.00";"0.00";"3540.00";"3540.00";"3300.00";"0.00";"1800.00";"1800.00";"1740.00";"1740.00";"1500.00";"16.000";"0.00";"0.00";"0.00";"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0";"2013-10-03 16:33:12";"2013-10-03 16:38:08";
"4";"OSZMNOPJE";"1";"1";"3";"1";"2";"4";"1";"5";"5";"6";"d02df2fc7d03162863a3fb66fd540435";"PayU Latam";"1.000000";"payulatam";"0";"0";"";"0";"";"0.00";"0.00";"0.00";"3540.00";"3540.00";"3300.00";"0.00";"1800.00";"1800.00";"1740.00";"1740.00";"1500.00";"16.000";"0.00";"0.00";"0.00";"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0";"2013-10-03 16:41:21";"2013-10-03 16:50:42";
"5";"YMLAEQMKB";"1";"1";"3";"1";"2";"5";"1";"5";"5";"6";"d02df2fc7d03162863a3fb66fd540435";"PayU Latam";"1.000000";"payulatam";"0";"0";"";"0";"";"0.00";"0.00";"0.00";"3540.00";"3540.00";"3300.00";"0.00";"1800.00";"1800.00";"1740.00";"1740.00";"1500.00";"16.000";"0.00";"0.00";"0.00";"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0";"2013-10-03 16:44:28";"2013-10-03 16:50:53";
"6";"NETDGCEXL";"1";"1";"3";"1";"2";"6";"1";"5";"5";"6";"d02df2fc7d03162863a3fb66fd540435";"PayU Latam";"1.000000";"payulatam";"0";"0";"";"0";"";"0.00";"0.00";"0.00";"3540.00";"3540.00";"3300.00";"0.00";"1800.00";"1800.00";"1740.00";"1740.00";"1500.00";"16.000";"0.00";"0.00";"0.00";"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0";"2013-10-03 16:52:22";"2013-10-03 16:54:49";
"7";"XPYBEMJWS";"1";"1";"3";"1";"2";"7";"1";"5";"5";"6";"d02df2fc7d03162863a3fb66fd540435";"PayU Latam";"1.000000";"payulatam";"0";"0";"";"0";"";"0.00";"0.00";"0.00";"3540.00";"3540.00";"3300.00";"0.00";"1800.00";"1800.00";"1740.00";"1740.00";"1500.00";"16.000";"0.00";"0.00";"0.00";"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0";"2013-10-03 16:57:18";"2013-10-03 17:04:25";
"8";"JGCEHCBZV";"1";"1";"3";"1";"2";"8";"1";"5";"5";"6";"d02df2fc7d03162863a3fb66fd540435";"PayU Latam";"1.000000";"payulatam";"0";"0";"";"0";"";"0.00";"0.00";"0.00";"3540.00";"3540.00";"3300.00";"0.00";"1800.00";"1800.00";"1740.00";"1740.00";"1500.00";"16.000";"0.00";"0.00";"0.00";"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0";"2013-10-03 17:02:02";"2013-10-03 17:04:46";
"9";"RBIYHNCCA";"1";"1";"3";"1";"2";"9";"1";"5";"5";"6";"d02df2fc7d03162863a3fb66fd540435";"PayU Latam";"1.000000";"payulatam";"0";"0";"";"0";"";"0.00";"0.00";"0.00";"3540.00";"3540.00";"3300.00";"0.00";"1800.00";"1800.00";"1740.00";"1740.00";"1500.00";"16.000";"0.00";"0.00";"0.00";"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0";"2013-10-03 17:16:05";"2013-10-03 17:35:10";
"10";"IGNYAYILC";"1";"1";"3";"1";"2";"10";"1";"5";"5";"6";"d02df2fc7d03162863a3fb66fd540435";"PayU Latam";"1.000000";"payulatam";"0";"0";"";"0";"";"0.00";"0.00";"0.00";"3540.00";"3540.00";"3300.00";"0.00";"1800.00";"1800.00";"1740.00";"1740.00";"1500.00";"16.000";"0.00";"0.00";"0.00";"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0";"2013-10-03 17:30:02";"2013-10-03 17:34:53";
