id_order_cart_rule;id_order;id_cart_rule;id_order_invoice;name;value;value_tax_excl;free_shipping;
"1";"39";"12761";"10";"Apoyo Salud";"1570.00";"1570.00";"0";
"2";"47";"13682";"18";"Apoyo Salud";"3180.00";"3180.00";"0";
"3";"48";"17083";"19";"Apoyo Salud";"1235.00";"1235.00";"0";
"4";"51";"17084";"21";"Apoyo Salud ";"2370.00";"2370.00";"0";
"5";"56";"14404";"26";"Apoyo Salud";"1840.00";"1840.00";"0";
"6";"57";"17085";"27";"Apoyo Salud";"2715.00";"2715.00";"0";
"7";"58";"14447";"28";"Apoyo Salud";"9705.00";"9705.00";"0";
"8";"59";"14403";"29";"Apoyo Salud";"1900.00";"1900.00";"0";
"9";"62";"17087";"32";"Apoyo Salud";"2575.00";"2575.00";"0";
"10";"63";"17086";"33";"Descuento Empleados Farmalisto";"3885.00";"3885.00";"0";
"11";"64";"17086";"34";"Descuento Empleados Farmalisto";"1085.00";"1085.00";"0";
"12";"66";"14473";"36";"Apoyo Salud";"3155.00";"3155.00";"0";
"13";"69";"17088";"37";"Apoyo Salud";"7710.00";"7710.00";"0";
"14";"70";"17086";"38";"Descuento Empleados Farmalisto";"7940.00";"7940.00";"0";
"15";"71";"17089";"39";"Apoyo Salud";"1560.00";"1560.00";"0";
"16";"72";"17090";"40";"Apoyo Salud";"5905.00";"5905.00";"0";
"17";"73";"14288";"41";"Apoyo Salud";"5298.40";"4840.00";"0";
"18";"74";"17091";"42";"Apoyo Salud";"2675.00";"2675.00";"0";
"19";"77";"14480";"45";"Apoyo Salud";"2750.00";"2750.00";"0";
"20";"79";"17092";"47";"Apoyo Salud";"3350.00";"3350.00";"0";
"21";"81";"17093";"49";"Apoyo salud";"9600.00";"9600.00";"0";
"22";"82";"14459";"50";"Apoyo Salud";"1840.00";"1840.00";"0";
"23";"83";"17094";"51";"Apoyo Salud ";"2111.20";"1820.00";"0";
"24";"84";"17095";"52";"Apoyo Salud";"1840.00";"1840.00";"0";
"25";"86";"14469";"54";"Apoyo Salud";"1840.00";"1840.00";"0";
"27";"87";"17096";"55";"aPOYO sALUD";"1740.00";"1740.00";"0";
