id_order_state;invoice;send_email;module_name;color;unremovable;hidden;logable;delivery;shipped;paid;deleted;
"1";"0";"1";"cheque";"RoyalBlue";"1";"0";"0";"0";"0";"0";"0";
"2";"1";"1";"";"#ff00ff";"1";"0";"1";"0";"0";"1";"0";
"3";"1";"1";"";"DarkOrange";"1";"0";"1";"1";"0";"1";"0";
"4";"1";"1";"";"BlueViolet";"1";"0";"1";"1";"1";"1";"0";
"5";"1";"0";"";"#108510";"1";"0";"1";"1";"1";"1";"0";
"6";"0";"1";"";"Crimson";"1";"0";"0";"0";"0";"0";"0";
"7";"1";"1";"";"#ec2e15";"1";"0";"0";"0";"0";"0";"0";
"8";"0";"1";"";"#8f0621";"1";"0";"0";"0";"0";"0";"0";
"9";"1";"1";"";"HotPink";"1";"0";"0";"0";"0";"1";"0";
"10";"0";"1";"bankwire";"RoyalBlue";"1";"0";"0";"0";"0";"0";"0";
"11";"0";"0";"";"RoyalBlue";"1";"0";"0";"0";"0";"0";"0";
"12";"1";"1";"";"LimeGreen";"1";"0";"1";"0";"0";"1";"0";
"18";"0";"0";"";"#DDEEFF";"0";"0";"0";"0";"0";"0";"0";
"16";"0";"0";"";"#4c2b11";"0";"0";"0";"0";"0";"0";"0";
