id_order_detail;id_order;id_order_invoice;id_warehouse;id_shop;product_id;product_attribute_id;product_name;product_quantity;product_quantity_in_stock;product_quantity_refunded;product_quantity_return;product_quantity_reinjected;product_price;reduction_percent;reduction_amount;reduction_amount_tax_incl;reduction_amount_tax_excl;group_reduction;product_quantity_discount;product_ean13;product_upc;product_reference;product_supplier_reference;product_weight;tax_computation_method;tax_name;tax_rate;ecotax;ecotax_tax_rate;discount_quantity_applied;download_hash;download_nb;download_deadline;total_price_tax_incl;total_price_tax_excl;unit_price_tax_incl;unit_price_tax_excl;total_shipping_price_tax_incl;total_shipping_price_tax_excl;purchase_supplier_price;original_product_price;
"1";"1";"1";"0";"1";"5";"11";"iPod touch - Capacité: 32Go";"1";"0";"0";"0";"0";"392.140500";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"469.000000";"392.140000";"469.000000";"392.140468";"0.000000";"0.000000";"0.000000";"0.000000";
"2";"1";"1";"0";"1";"7";"0";"Écouteurs à isolation sonore Shure SE210";"1";"0";"0";"0";"0";"124.581900";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"149.000000";"124.580000";"149.000000";"124.581940";"0.000000";"0.000000";"0.000000";"0.000000";
"3";"2";"0";"0";"1";"8";"0";"Test product";"1";"1";"0";"0";"0";"1800.000000";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"AAA-000";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"1800.000000";"1800.000000";"1800.000000";"1800.000000";"0.000000";"0.000000";"1200.000000";"1800.000000";
"4";"3";"0";"0";"1";"8";"0";"Test product";"1";"1";"0";"0";"0";"1800.000000";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"AAA-000";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"1800.000000";"1800.000000";"1800.000000";"1800.000000";"0.000000";"0.000000";"1200.000000";"1800.000000";
"5";"4";"0";"0";"1";"8";"0";"Test product";"1";"1";"0";"0";"0";"1800.000000";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"AAA-000";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"1800.000000";"1800.000000";"1800.000000";"1800.000000";"0.000000";"0.000000";"1200.000000";"1800.000000";
"6";"5";"0";"0";"1";"8";"0";"Test product";"1";"1";"0";"0";"0";"1800.000000";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"AAA-000";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"1800.000000";"1800.000000";"1800.000000";"1800.000000";"0.000000";"0.000000";"1200.000000";"1800.000000";
"7";"6";"0";"0";"1";"8";"0";"Test product";"1";"1";"0";"0";"0";"1800.000000";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"AAA-000";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"1800.000000";"1800.000000";"1800.000000";"1800.000000";"0.000000";"0.000000";"1200.000000";"1800.000000";
"8";"7";"0";"0";"1";"8";"0";"Test product";"1";"1";"0";"0";"0";"1800.000000";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"AAA-000";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"1800.000000";"1800.000000";"1800.000000";"1800.000000";"0.000000";"0.000000";"1200.000000";"1800.000000";
"9";"8";"0";"0";"1";"8";"0";"Test product";"1";"1";"0";"0";"0";"1800.000000";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"AAA-000";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"1800.000000";"1800.000000";"1800.000000";"1800.000000";"0.000000";"0.000000";"1200.000000";"1800.000000";
"10";"9";"0";"0";"1";"8";"0";"Test product";"1";"1";"0";"0";"0";"1800.000000";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"AAA-000";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"1800.000000";"1800.000000";"1800.000000";"1800.000000";"0.000000";"0.000000";"1200.000000";"1800.000000";
"11";"10";"0";"0";"1";"8";"0";"Test product";"1";"1";"0";"0";"0";"1800.000000";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"AAA-000";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"1800.000000";"1800.000000";"1800.000000";"1800.000000";"0.000000";"0.000000";"1200.000000";"1800.000000";
"12";"11";"0";"0";"1";"8";"0";"Test product";"1";"1";"0";"0";"0";"1800.000000";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"AAA-000";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"1800.000000";"1800.000000";"1800.000000";"1800.000000";"0.000000";"0.000000";"1200.000000";"1800.000000";
"13";"12";"0";"0";"1";"8";"0";"Test product";"1";"1";"0";"0";"0";"1800.000000";"0.00";"0.000000";"0.000000";"0.000000";"0.00";"0.000000";"";"";"AAA-000";"";"0.000000";"0";"";"0.000";"0.000000";"0.000";"0";"";"0";"0000-00-00 00:00:00";"1800.000000";"1800.000000";"1800.000000";"1800.000000";"0.000000";"0.000000";"1200.000000";"1800.000000";
