ID;Activo (0/1);Nombre*;Categorías (xyz...);Precio sin IVA o Precios con IVA;ID regla de impuestos;Precio mayorista;En rebaja (0/1);Valor del descuento;Porcentaje del descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia n?;N° de referencia proveedor;Proveedor;Fabricante;EAN13;UPC;Ecotasa;Peso;Cantidad;Descripción corta;Descripción;Etiquetas (x,y,z...);Meta-título;Meta-palabras clave;Meta-descripción;Enlace reescrito;Texto para cuando está disponible;Texto para cuando se permiten pedidos en espera;Disponible para ordenar (0 = No, 1 = Si);Fecha en la que se a?adieron productos;Mostrar Precio (0 = No, 1 = Si);URL's de las imágenes (x,y,z...);Elimine las imágenes existentes (0 = no, 1 = si);Característica (Nombre:Valor:Posición);Solo disponible por Internet (0 = No, 1 = Si);Condition;ID / Nombre de la tiend
;1;Aguja Hipodermica Desechable 23x1.5 Unidad (COD. Bogota) / Corpaul;;58,65;0;;0;;;;;47705366800066;;;;;;;;5;.;.;;Comprar Aguja Hipodermica Desechable 23x1.5 Unidad (COD. Bogota) / Corpaul;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Aguja Hipodermica Desechable 23x1.5 Unidad (COD. Bogota) . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Aguja Hipodermica Desechable 21x1.5 (COD. Bogota) / Corpaul;;58,65;0;;0;;;;;47705366800042;;;;;;;;5;.;.;;Comprar Aguja Hipodermica Desechable 21x1.5 (COD. Bogota) / Corpaul;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Aguja Hipodermica Desechable 21x1.5 (COD. Bogota) / Corpa. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Aguja Hdermica Rymco Corta 20 X 1;;61,9758003652;0;;0;;;;;7706634002986;;;;;;;;5;.;.;;Comprar Aguja Hdermica Rymco Corta 20  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Aguja Hdermica Rymco Corta 20 . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Aguja Rymco Desech Larg 27x1/2;;61,9758003652;0;;0;;;;;7706634003488;;;;;;;;5;.;.;;Comprar Aguja Rymco Desech Larg 27x1/2 En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Aguja Rymco Desech Larg 27x1/2. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Aguja Hdermica Rymco Larga 21 X 1 1/2;;62,1000024676;0;;0;;;;;7706634003136;;;;;;;;5;.;.;;Comprar Aguja Hdermica Rymco Larga 21  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Aguja Hdermica Rymco Larga 21 . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Aguja Hdermica Rymco Corta 23 X 1;;65,0554993749;0;;0;;;;;7706634003310;;;;;;;;5;.;.;;Comprar Aguja Hdermica Rymco Corta 23  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Aguja Hdermica Rymco Corta 23 . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Aguja Hdermica Rymco Larga 20 X 1 1/2;;69,695751667;0;;0;;;;;7706634003013;;;;;;;;5;.;.;;Comprar Aguja Hdermica Rymco Larga 20  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Aguja Hdermica Rymco Larga 20 . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Aguja Rymco Desech 26x1/2;;77,7804588604;0;;0;;;;;7706634003464;;;;;;;;5;.;.;;Comprar Aguja Rymco Desech 26x1/2 En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Aguja Rymco Desech 26x1/2. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Jeringa Rymco  2 mL 2p 21x1.5 (SLIP) Larga;;80,5685404748;0;;0;;;;;7706634000050;;;;;;;;5;.;.;;Comprar Jeringa Rymco  2 mL 2p 21x1.5 (SLIP) Larga;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Jeringa Rymco  2 mL 2p 21x1.5 (SLIP) Larga. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Jeringa Rymco  2 mL 2p 22x1.5 (SLIP) Larga;;80,5685404748;0;;0;;;;;7706634000074;;;;;;;;5;.;.;;Comprar Jeringa Rymco  2 mL 2p 22x1.5 (SLIP) Larga;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Jeringa Rymco  2 mL 2p 22x1.5 (SLIP) Larga. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
