ID,Activo (0/1),Nombre*,Categorías (xyz...),Precio sin IVA o Precios con IVA,ID regla de impuestos,Precio mayorista,En rebaja (0/1),Valor del descuento,Porcentaje del descuento,Descuento desde (aaaa-mm-dd),Descuento hasta (aaaa-mm-dd),Referencia n?,N° de referencia proveedor,Proveedor,Fabricante,EAN13,UPC,Ecotasa,Peso,Cantidad,Descripción corta,Descripción,"Etiquetas (x,y,z...)",Meta-título,Meta-palabras clave,Meta-descripción,Enlace reescrito,Texto para cuando está disponible,Texto para cuando se permiten pedidos en espera,"Disponible para ordenar (0 = No, 1 = Si)",Fecha en la que se a?adieron productos,"Mostrar Precio (0 = No, 1 = Si)","URL's de las imágenes (x,y,z...)","Elimine las imágenes existentes (0 = no, 1 = si)",Característica (Nombre:Valor:Posición),"Solo disponible por Internet (0 = No, 1 = Si)",Condition,ID / Nombre de la tiend
,0,Trimesulf F Suspension Frasco X120 Ml,,"5653,39",0,"5653,39",0,,,,,7703712011458,7703712011458,ROMA,,,,,,5,,,,Comprar Trimesulf F Suspension Frasco X120 Ml en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Trimesulf F Suspension Frasco X120 Ml Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Recolector Orina 24 Horas,,"5778,75",1,"5778,75",0,,,,,7707300934242,7707300934242,ROMA,,,,,,5,,,,Comprar Recolector Orina 24 Horas en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Recolector Orina 24 Horas Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Dizmofen Gel Tubo X 50 Gr Crema (Diclofenaco),,"5789,1",0,"5789,1",0,,,,,7707019337020,7707019337020,ROMA,,,,,,5,,,,Comprar Dizmofen Gel Tubo X 50 Gr Crema (Diclofenaco) en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Dizmofen Gel Tubo X 50 Gr Crema (Diclofenaco) Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Cepillo Interdental X 4 Referencia 470,,"6103,2",1,"6103,2",0,,,,,7702314153702,7702314153702,ROMA,,,,,,5,,,,Comprar Cepillo Interdental X 4 Referencia 470 en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Cepillo Interdental X 4 Referencia 470 Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Cepillo Interdental X 4 Referencia 471,,"6103,2",1,"6103,2",0,,,,,7702314153719,7702314153719,ROMA,,,,,,5,,,,Comprar Cepillo Interdental X 4 Referencia 471 en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Cepillo Interdental X 4 Referencia 471 Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Cepillo Interdental X 4 Referencia 473,,"6103,2",1,"6103,2",0,,,,,7702314153733,7702314153733,ROMA,,,,,,5,,,,Comprar Cepillo Interdental X 4 Referencia 473 en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Cepillo Interdental X 4 Referencia 473 Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Cerebrina Energy Tabletas Masticable Frascox10,,"6105,6",1,"6105,6",0,,,,,7707056200509,7707056200509,ROMA,,,,,,5,,,,Comprar Cerebrina Energy Tabletas Masticable Frascox10 en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Cerebrina Energy Tabletas Masticable Frascox10 Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Dermiclear Camomilla Gel Frasco X 120 Ml,,"6105,6",1,"6105,6",0,,,,,7702184680032,7702184680032,ROMA,,,,,,5,,,,Comprar Dermiclear Camomilla Gel Frasco X 120 Ml en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Dermiclear Camomilla Gel Frasco X 120 Ml Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Bebezyn Crema Tubo X 30 Gr,,"6141,6",1,"6141,6",0,,,,,7711000000251,7711000000251,ROMA,,,,,,5,,,,Comprar Bebezyn Crema Tubo X 30 Gr en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Bebezyn Crema Tubo X 30 Gr Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Cepillo Silicona Bebe,,"6163,2",1,"6163,2",0,,,,,7702314155232,7702314155232,ROMA,,,,,,5,,,,Comprar Cepillo Silicona Bebe en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Cepillo Silicona Bebe Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Tudermifar Crema Tubo X 40 Gr,,"5873,74",0,"5873,74",0,,,,,7707019459074,7707019459074,ROMA,,,,,,5,,,,Comprar Tudermifar Crema Tubo X 40 Gr en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Tudermifar Crema Tubo X 40 Gr Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Jabon Johnsons  X 125 Gr Nut Reparadora Adulto Tripack,,"6274,8",1,"6274,8",0,,,,,7702031685043,7702031685043,ROMA,,,,,,5,,,,Comprar Jabon Johnsons  X 125 Gr Nut Reparadora Adulto Tripack en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Jabon Johnsons  X 125 Gr Nut Reparadora Adulto Tripack Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Prednisolona 5Mg Caja X 100 Tabletas,,"5977,7",0,"5977,7",0,,,,,7703038067214,7703038067214,ROMA,,,,,,5,,,,Comprar Prednisolona 5Mg Caja X 100 Tabletas en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Prednisolona 5Mg Caja X 100 Tabletas Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Cepillo Colgate Kids Suave 5+,,"6397,2",1,"6397,2",0,,,,,7793100151231,7793100151231,ROMA,,,,,,5,,,,Comprar Cepillo Colgate Kids Suave 5+ en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Cepillo Colgate Kids Suave 5+ Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Vick Pastillas Caja X 5 Sobres Cereza,,"6028,55",1,"6028,55",0,,,,,7506339393538,7506339393538,ROMA,,,,,,5,,,,Comprar Vick Pastillas Caja X 5 Sobres Cereza en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Vick Pastillas Caja X 5 Sobres Cereza Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
