ID;Activo (0/1);Nombre*;Categorías (xyz...);Precio sin IVA o Precios con IVA;ID regla de impuestos;Precio mayorista;En rebaja (0/1);Valor del descuento;Porcentaje del descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia n?;N° de referencia proveedor;Proveedor;Fabricante;EAN13;UPC;Ecotasa;Peso;Cantidad;Descripción corta;Descripción;Etiquetas (x,y,z...);Meta-título;Meta-palabras clave;Meta-descripción;Enlace reescrito;Texto para cuando está disponible;Texto para cuando se permiten pedidos en espera;Disponible para ordenar (0 = No, 1 = Si);Fecha en la que se a?adieron productos;Mostrar Precio (0 = No, 1 = Si);URL's de las imágenes (x,y,z...);Elimine las imágenes existentes (0 = no, 1 = si);Característica (Nombre:Valor:Posición);Solo disponible por Internet (0 = No, 1 = Si);Condition;ID / Nombre de la tiend
;0;Repelente Bye Bye Locion Spray Ni?os Con Deet 10% X 120 Ml   + Bye Bye Locion Fco X 120 Ml   Gratis Bye Bye Roll On X 40Ml;;16229,31;0;16229,31;0;;;;;7707288825495;7707288825495;ROMA;;;;;;5;;;;Comprar Repelente Bye Bye Locion Spray Ni?os Con Deet 10% X 120 Ml   + Bye Bye Locion Fco X 120 Ml   Gratis Bye Bye Roll On X 40Ml en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Repelente Bye Bye Locion Spray Ni?os Con Deet 10% X 120 Ml   + Bye Bye Locion Fco X 120 Ml   Gratis Bye Bye Roll On X 40Ml Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Estuche Johnsons Baby Colonia X100 Ml  + Talco X100Gr + Aceite Orig X100Ml + Jabon X75Gr + Champu Orig X100 Ml;;26500,8;1;26500,8;0;;;;;7702031872900;7702031872900;ROMA;;;;;;5;;;;Comprar Estuche Johnsons Baby Colonia X100 Ml  + Talco X100Gr + Aceite Orig X100Ml + Jabon X75Gr + Champu Orig X100 Ml en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Estuche Johnsons Baby Colonia X100 Ml  + Talco X100Gr + Aceite Orig X100Ml + Jabon X75Gr + Champu Orig X100 Ml Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Estuche Johnsons Baby Colonia X100 Ml  + Talco X100Gr + Aceite Orig X100 Ml  + Jabon X75Gr + Champu Orig X100 Ml;;13210,8;1;13210,8;0;;;;;7702003992599;7702003992599;COBECA;;;;;;5;;;;Comprar Estuche Johnsons Baby Colonia X100 Ml  + Talco X100Gr + Aceite Orig X100 Ml  + Jabon X75Gr + Champu Orig X100 Ml en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Estuche Johnsons Baby Colonia X100 Ml  + Talco X100Gr + Aceite Orig X100 Ml  + Jabon X75Gr + Champu Orig X100 Ml Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Estuche Johnsons Baby Colonia X100Ml + Talco X100Gr + Aceite Orig X100Ml + Jabon X75Gr + Champu Orig X100 Ml;;22392;0;22392;0;;;;;7702057061388;7702057061388;COBECA;;;;;;5;;;;Comprar Estuche Johnsons Baby Colonia X100Ml + Talco X100Gr + Aceite Orig X100Ml + Jabon X75Gr + Champu Orig X100 Ml en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Estuche Johnsons Baby Colonia X100Ml + Talco X100Gr + Aceite Orig X100Ml + Jabon X75Gr + Champu Orig X100 Ml Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Robaxin Gold Caja X20 Tabletas 3 Unidades;;46667,87;1;46667,87;0;;;;;7806500409151;7806500409151;COBECA;;;;;;5;;;;Comprar Robaxin Gold Caja X20 Tabletas 3 Unidades en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Robaxin Gold Caja X20 Tabletas 3 Unidades Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Invokana Caja X 30 Tabletas;;47510,85;1;47510,85;0;;;;;5013405657729;5013405657729;COBECA;;;;;;5;;;;Comprar Invokana Caja X 30 Tabletas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Invokana Caja X 30 Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Aspirina 100Mg Ni?os Caja X140 Tableta 4 Unidades;;47939,12;0;47939,12;0;;;;;7611760650027;7611760650027;COBECA;;;;;;5;;;;Comprar Aspirina 100Mg Ni?os Caja X140 Tableta 4 Unidades en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Aspirina 100Mg Ni?os Caja X140 Tableta 4 Unidades Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Isoface 20Mg Caja X40 Capsulas;;47939,12;0;47939,12;0;;;;;7611760650003;7611760650003;COBECA;;;;;;5;;;;Comprar Isoface 20Mg Caja X40 Capsulas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Isoface 20Mg Caja X40 Capsulas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;N-Butil Bromuro De Hioscina Caja X 300Tableta Minipack;;47821,6;1;47821,6;0;;;;;7702003988233;7702003988233;COBECA;;;;;;5;;;;Comprar N-Butil Bromuro De Hioscina Caja X 300Tableta Minipack en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre N-Butil Bromuro De Hioscina Caja X 300Tableta Minipack Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Prolastat 0.5Mg Caja X 8 Tableta;;48401,29;0;48401,29;0;;;;;7702771001561;7702771001561;COBECA;;;;;;5;;;;Comprar Prolastat 0.5Mg Caja X 8 Tableta en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Prolastat 0.5Mg Caja X 8 Tableta Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;K-Micot Caja X14 Tabletas;;48623,9;0;48623,9;0;;;;;7707051500376;7707051500376;COBECA;;;;;;5;;;;Comprar K-Micot Caja X14 Tabletas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre K-Micot Caja X14 Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Anexia 60 Mg Caja X 14 Tabletas;;48898,49;0;48898,49;0;;;;;8901175021055;8901175021055;COBECA;;;;;;5;;;;Comprar Anexia 60 Mg Caja X 14 Tabletas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Anexia 60 Mg Caja X 14 Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Lezat Jarabe 5Omg;;49079,29;0;49079,29;0;;;;;7702418006157;7702418006157;COBECA;;;;;;5;;;;Comprar Lezat Jarabe 5Omg en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Lezat Jarabe 5Omg Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
