ID;Activo (0/1);Nombre*;Categorías (xyz...);Precio sin IVA o Precios con IVA;ID regla de impuestos;Precio mayorista;En rebaja (0/1);Valor del descuento;Porcentaje del descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia nº;N° de referencia proveedor;Proveedor;Fabricante;EAN13;UPC;Ecotasa;Peso;Cantidad;Descripción corta;Descripción;Etiquetas (x,y,z...);Meta-título;Meta-palabras clave;Meta-descripción;Enlace reescrito;Texto para cuando está disponible;Texto para cuando se permiten pedidos en espera;Disponible para ordenar (0 = No, 1 = Si);Fecha en la que se añadieron productos;Mostrar Precio (0 = No, 1 = Si);URL's de las imágenes (x,y,z...);Elimine las imágenes existentes (0 = no, 1 = si);Característica (Nombre:Valor:Posición);Solo disponible por Internet (0 = No, 1 = Si);Condition;ID / Nombre de la tiend
;1;Lamivudina/Abacanavir/Zidovudina 150/300/300 Rx4;;180800;;160000;;;;;;ASC208;;Asociación De Enfermos De Cáncer;;;;;;5;"<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong>Gracias por visitar farmalisto, la Droguería Virtual #1 en Colombia, sirviendo a nuestros clientes desde hace más de 2 años. Más de 60.000 Clientes ya han comprado con nosotros, una calificación media de <span style=""font-size: 14pt; color: #ff6600;"">4.5/5</span> nos certifica para poder ofrecerte el mejor servicio del país. ¡Pruébanos!</strong></span></p>
<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img title=""Servicio de calidad 100% garantizado"" src=""http://www.farmalisto.com.co/img/cms/envio-express/estrella_calidad.png"" alt=""Servicio de calidad 100% garantizado"" width=""80"" /> <img title=""Miembros de la cámara cololmbiana de comercio electrónico"" src=""http://www.farmalisto.com.co/img/cms/banners/Beneficios/camara-de-comercio-electronico.jpg"" alt=""Miembros de la cámara cololmbiana de comercio electrónico"" /></strong></span></p>
<p style=""text-align: center;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img style=""float: right;"" src=""http://www.farmalisto.com.co/themes/gomarket/img/footer/footer-una-pieza.jpg"" alt="""" height=""20"" /></strong></span></p>";"<p><strong>Tips Farmalisto Para tener en cuenta:</strong><br /><br /><span>Las </span><strong>cápsulas</strong><span> son pequeños envases solubles generalmente fabricados a base de gelatina en cuyo interior se halla la dosis del fármaco que se administrará por vía oral.</span><br /><span>Los </span><strong>comprimidos</strong><span> son formas farmacéuticas sólidas, generalmente redondas, con una dosificación exacta del medicamento contenido en su interior.</span><br /><span>La </span><strong>pastilla</strong><span> es un término coloquial que se le da en a la actualidad a las tabletas y se define como Forma farmacéutica solida de dosificación unitaria, preparadas por moldeo o compresión que contiene principio activo y excipientes.</span></p>
<p><strong>EN CASO DE COMPRAR MEDICAMENTOS ATIENDE ESTA INDICACIÓN: </strong></p>
<p><strong>NO EXCEDAS SU CONSUMO. LEER INDICACIONES Y CONTRAINDICACIONES. SI LOS SÍNTOMAS PERSISTEN, CONSULTA A TU MÉDICO, NO TE AUTOMEDIQUES.</strong></p>";Lamivudina/Abacanavir/Zidovudina;Comprar Lamivudina/Abacanavir/Zidovudina 150/300/300 En Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Lamivudina/Abacanavir/Zidovudina 150/300/300 Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Emtricitabina/Tenofovir 200/300 Mg Tabletas Rx4;;339000;;300000;;;;;;ASC216;;Asociación De Enfermos De Cáncer;;;;;;5;"<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong>Gracias por visitar farmalisto, la Droguería Virtual #1 en Colombia, sirviendo a nuestros clientes desde hace más de 2 años. Más de 60.000 Clientes ya han comprado con nosotros, una calificación media de <span style=""font-size: 14pt; color: #ff6600;"">4.5/5</span> nos certifica para poder ofrecerte el mejor servicio del país. ¡Pruébanos!</strong></span></p>
<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img title=""Servicio de calidad 100% garantizado"" src=""http://www.farmalisto.com.co/img/cms/envio-express/estrella_calidad.png"" alt=""Servicio de calidad 100% garantizado"" width=""80"" /> <img title=""Miembros de la cámara cololmbiana de comercio electrónico"" src=""http://www.farmalisto.com.co/img/cms/banners/Beneficios/camara-de-comercio-electronico.jpg"" alt=""Miembros de la cámara cololmbiana de comercio electrónico"" /></strong></span></p>
<p style=""text-align: center;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img style=""float: right;"" src=""http://www.farmalisto.com.co/themes/gomarket/img/footer/footer-una-pieza.jpg"" alt="""" height=""20"" /></strong></span></p>";"<p><strong>Tips Farmalisto Para tener en cuenta:</strong><br /><br /><span>Las </span><strong>cápsulas</strong><span> son pequeños envases solubles generalmente fabricados a base de gelatina en cuyo interior se halla la dosis del fármaco que se administrará por vía oral.</span><br /><span>Los </span><strong>comprimidos</strong><span> son formas farmacéuticas sólidas, generalmente redondas, con una dosificación exacta del medicamento contenido en su interior.</span><br /><span>La </span><strong>pastilla</strong><span> es un término coloquial que se le da en a la actualidad a las tabletas y se define como Forma farmacéutica solida de dosificación unitaria, preparadas por moldeo o compresión que contiene principio activo y excipientes.</span></p>
<p><strong>EN CASO DE COMPRAR MEDICAMENTOS ATIENDE ESTA INDICACIÓN: </strong></p>
<p><strong>NO EXCEDAS SU CONSUMO. LEER INDICACIONES Y CONTRAINDICACIONES. SI LOS SÍNTOMAS PERSISTEN, CONSULTA A TU MÉDICO, NO TE AUTOMEDIQUES.</strong></p>";;Comprar Emtricitabina/Tenofovir 200/300 Mg Tabletas En Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Emtricitabina/Tenofovir 200/300 Mg Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Abacanavir/Lamivudina 600/300 Mg Tabletas Rx4;;79100;;70000;;;;;;ASC215;;Asociación De Enfermos De Cáncer;;;;;;5;"<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong>Gracias por visitar farmalisto, la Droguería Virtual #1 en Colombia, sirviendo a nuestros clientes desde hace más de 2 años. Más de 60.000 Clientes ya han comprado con nosotros, una calificación media de <span style=""font-size: 14pt; color: #ff6600;"">4.5/5</span> nos certifica para poder ofrecerte el mejor servicio del país. ¡Pruébanos!</strong></span></p>
<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img title=""Servicio de calidad 100% garantizado"" src=""http://www.farmalisto.com.co/img/cms/envio-express/estrella_calidad.png"" alt=""Servicio de calidad 100% garantizado"" width=""80"" /> <img title=""Miembros de la cámara cololmbiana de comercio electrónico"" src=""http://www.farmalisto.com.co/img/cms/banners/Beneficios/camara-de-comercio-electronico.jpg"" alt=""Miembros de la cámara cololmbiana de comercio electrónico"" /></strong></span></p>
<p style=""text-align: center;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img style=""float: right;"" src=""http://www.farmalisto.com.co/themes/gomarket/img/footer/footer-una-pieza.jpg"" alt="""" height=""20"" /></strong></span></p>";"<p><strong>Tips Farmalisto Para tener en cuenta:</strong><br /><br /><span>Las </span><strong>cápsulas</strong><span> son pequeños envases solubles generalmente fabricados a base de gelatina en cuyo interior se halla la dosis del fármaco que se administrará por vía oral.</span><br /><span>Los </span><strong>comprimidos</strong><span> son formas farmacéuticas sólidas, generalmente redondas, con una dosificación exacta del medicamento contenido en su interior.</span><br /><span>La </span><strong>pastilla</strong><span> es un término coloquial que se le da en a la actualidad a las tabletas y se define como Forma farmacéutica solida de dosificación unitaria, preparadas por moldeo o compresión que contiene principio activo y excipientes.</span></p>
<p><strong>EN CASO DE COMPRAR MEDICAMENTOS ATIENDE ESTA INDICACIÓN: </strong></p>
<p><strong>NO EXCEDAS SU CONSUMO. LEER INDICACIONES Y CONTRAINDICACIONES. SI LOS SÍNTOMAS PERSISTEN, CONSULTA A TU MÉDICO, NO TE AUTOMEDIQUES.</strong></p>";;Comprar Abacanavir/Lamivudina 600/300 Mg Tabletas En Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Abacanavir/Lamivudina 600/300 Mg Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Lamivudina/Zidovudina 150/300 Ma Tableta Rx4;;45200;;40000;;;;;;ASC217;;Asociación De Enfermos De Cáncer;;;;;;5;"<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong>Gracias por visitar farmalisto, la Droguería Virtual #1 en Colombia, sirviendo a nuestros clientes desde hace más de 2 años. Más de 60.000 Clientes ya han comprado con nosotros, una calificación media de <span style=""font-size: 14pt; color: #ff6600;"">4.5/5</span> nos certifica para poder ofrecerte el mejor servicio del país. ¡Pruébanos!</strong></span></p>
<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img title=""Servicio de calidad 100% garantizado"" src=""http://www.farmalisto.com.co/img/cms/envio-express/estrella_calidad.png"" alt=""Servicio de calidad 100% garantizado"" width=""80"" /> <img title=""Miembros de la cámara cololmbiana de comercio electrónico"" src=""http://www.farmalisto.com.co/img/cms/banners/Beneficios/camara-de-comercio-electronico.jpg"" alt=""Miembros de la cámara cololmbiana de comercio electrónico"" /></strong></span></p>
<p style=""text-align: center;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img style=""float: right;"" src=""http://www.farmalisto.com.co/themes/gomarket/img/footer/footer-una-pieza.jpg"" alt="""" height=""20"" /></strong></span></p>";"<p><strong>Tips Farmalisto Para tener en cuenta:</strong><br /><br /><span>Las </span><strong>cápsulas</strong><span> son pequeños envases solubles generalmente fabricados a base de gelatina en cuyo interior se halla la dosis del fármaco que se administrará por vía oral.</span><br /><span>Los </span><strong>comprimidos</strong><span> son formas farmacéuticas sólidas, generalmente redondas, con una dosificación exacta del medicamento contenido en su interior.</span><br /><span>La </span><strong>pastilla</strong><span> es un término coloquial que se le da en a la actualidad a las tabletas y se define como Forma farmacéutica solida de dosificación unitaria, preparadas por moldeo o compresión que contiene principio activo y excipientes.</span></p>
<p><strong>EN CASO DE COMPRAR MEDICAMENTOS ATIENDE ESTA INDICACIÓN: </strong></p>
<p><strong>NO EXCEDAS SU CONSUMO. LEER INDICACIONES Y CONTRAINDICACIONES. SI LOS SÍNTOMAS PERSISTEN, CONSULTA A TU MÉDICO, NO TE AUTOMEDIQUES.</strong></p>";Lamivudina/Zidovudina;Comprar Lamivudina/Zidovudina 150/300 Ma Tableta En Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Lamivudina/Zidovudina 150/300 Ma Tableta Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Recormon 2,000 Ui/0.3 Ml X 6 Ampolla Rx4;;96050;;85000;;;;;;ASC304;;Asociación De Enfermos De Cáncer;;;;;;5;"<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong>Gracias por visitar farmalisto, la Droguería Virtual #1 en Colombia, sirviendo a nuestros clientes desde hace más de 2 años. Más de 60.000 Clientes ya han comprado con nosotros, una calificación media de <span style=""font-size: 14pt; color: #ff6600;"">4.5/5</span> nos certifica para poder ofrecerte el mejor servicio del país. ¡Pruébanos!</strong></span></p>
<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img title=""Servicio de calidad 100% garantizado"" src=""http://www.farmalisto.com.co/img/cms/envio-express/estrella_calidad.png"" alt=""Servicio de calidad 100% garantizado"" width=""80"" /> <img title=""Miembros de la cámara cololmbiana de comercio electrónico"" src=""http://www.farmalisto.com.co/img/cms/banners/Beneficios/camara-de-comercio-electronico.jpg"" alt=""Miembros de la cámara cololmbiana de comercio electrónico"" /></strong></span></p>
<p style=""text-align: center;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img style=""float: right;"" src=""http://www.farmalisto.com.co/themes/gomarket/img/footer/footer-una-pieza.jpg"" alt="""" height=""20"" /></strong></span></p>";"<p><strong>Tips Farmalisto Para tener en cuenta:</strong><br /><br /><span>Las </span><strong>cápsulas</strong><span> son pequeños envases solubles generalmente fabricados a base de gelatina en cuyo interior se halla la dosis del fármaco que se administrará por vía oral.</span><br /><span>Los </span><strong>comprimidos</strong><span> son formas farmacéuticas sólidas, generalmente redondas, con una dosificación exacta del medicamento contenido en su interior.</span><br /><span>La </span><strong>pastilla</strong><span> es un término coloquial que se le da en a la actualidad a las tabletas y se define como Forma farmacéutica solida de dosificación unitaria, preparadas por moldeo o compresión que contiene principio activo y excipientes.</span></p>
<p><strong>EN CASO DE COMPRAR MEDICAMENTOS ATIENDE ESTA INDICACIÓN: </strong></p>
<p><strong>NO EXCEDAS SU CONSUMO. LEER INDICACIONES Y CONTRAINDICACIONES. SI LOS SÍNTOMAS PERSISTEN, CONSULTA A TU MÉDICO, NO TE AUTOMEDIQUES.</strong></p>";Eritropoyetin;Comprar Recormon 2,000 Ui/0.3 Ml X 6 Ampolla En Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Recormon 2,000 Ui/0.3 Ml X 6 Ampolla Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Complera 200/300/25 Mg X 30 Tabletas Rx4;;678000;;600000;;;;;;ASC334;;Asociación De Enfermos De Cáncer;;;;;;5;"<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong>Gracias por visitar farmalisto, la Droguería Virtual #1 en Colombia, sirviendo a nuestros clientes desde hace más de 2 años. Más de 60.000 Clientes ya han comprado con nosotros, una calificación media de <span style=""font-size: 14pt; color: #ff6600;"">4.5/5</span> nos certifica para poder ofrecerte el mejor servicio del país. ¡Pruébanos!</strong></span></p>
<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img title=""Servicio de calidad 100% garantizado"" src=""http://www.farmalisto.com.co/img/cms/envio-express/estrella_calidad.png"" alt=""Servicio de calidad 100% garantizado"" width=""80"" /> <img title=""Miembros de la cámara cololmbiana de comercio electrónico"" src=""http://www.farmalisto.com.co/img/cms/banners/Beneficios/camara-de-comercio-electronico.jpg"" alt=""Miembros de la cámara cololmbiana de comercio electrónico"" /></strong></span></p>
<p style=""text-align: center;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img style=""float: right;"" src=""http://www.farmalisto.com.co/themes/gomarket/img/footer/footer-una-pieza.jpg"" alt="""" height=""20"" /></strong></span></p>";"<p><strong>Tips Farmalisto Para tener en cuenta:</strong><br /><br /><span>Las </span><strong>cápsulas</strong><span> son pequeños envases solubles generalmente fabricados a base de gelatina en cuyo interior se halla la dosis del fármaco que se administrará por vía oral.</span><br /><span>Los </span><strong>comprimidos</strong><span> son formas farmacéuticas sólidas, generalmente redondas, con una dosificación exacta del medicamento contenido en su interior.</span><br /><span>La </span><strong>pastilla</strong><span> es un término coloquial que se le da en a la actualidad a las tabletas y se define como Forma farmacéutica solida de dosificación unitaria, preparadas por moldeo o compresión que contiene principio activo y excipientes.</span></p>
<p><strong>EN CASO DE COMPRAR MEDICAMENTOS ATIENDE ESTA INDICACIÓN: </strong></p>
<p><strong>NO EXCEDAS SU CONSUMO. LEER INDICACIONES Y CONTRAINDICACIONES. SI LOS SÍNTOMAS PERSISTEN, CONSULTA A TU MÉDICO, NO TE AUTOMEDIQUES.</strong></p>";Emt/Teno/Rilpiv;Comprar Complera 200/300/25 Mg X 30 Tabletas En Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Complera 200/300/25 Mg X 30 Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Trizivir 300/150/300mg X 60 Tabletas Rx4;;144640;;128000;;;;;;ASC35;;Asociación De Enfermos De Cáncer;;;;;;5;"<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong>Gracias por visitar farmalisto, la Droguería Virtual #1 en Colombia, sirviendo a nuestros clientes desde hace más de 2 años. Más de 60.000 Clientes ya han comprado con nosotros, una calificación media de <span style=""font-size: 14pt; color: #ff6600;"">4.5/5</span> nos certifica para poder ofrecerte el mejor servicio del país. ¡Pruébanos!</strong></span></p>
<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img title=""Servicio de calidad 100% garantizado"" src=""http://www.farmalisto.com.co/img/cms/envio-express/estrella_calidad.png"" alt=""Servicio de calidad 100% garantizado"" width=""80"" /> <img title=""Miembros de la cámara cololmbiana de comercio electrónico"" src=""http://www.farmalisto.com.co/img/cms/banners/Beneficios/camara-de-comercio-electronico.jpg"" alt=""Miembros de la cámara cololmbiana de comercio electrónico"" /></strong></span></p>
<p style=""text-align: center;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img style=""float: right;"" src=""http://www.farmalisto.com.co/themes/gomarket/img/footer/footer-una-pieza.jpg"" alt="""" height=""20"" /></strong></span></p>";"<p><strong>Tips Farmalisto Para tener en cuenta:</strong><br /><br /><span>Las </span><strong>cápsulas</strong><span> son pequeños envases solubles generalmente fabricados a base de gelatina en cuyo interior se halla la dosis del fármaco que se administrará por vía oral.</span><br /><span>Los </span><strong>comprimidos</strong><span> son formas farmacéuticas sólidas, generalmente redondas, con una dosificación exacta del medicamento contenido en su interior.</span><br /><span>La </span><strong>pastilla</strong><span> es un término coloquial que se le da en a la actualidad a las tabletas y se define como Forma farmacéutica solida de dosificación unitaria, preparadas por moldeo o compresión que contiene principio activo y excipientes.</span></p>
<p><strong>EN CASO DE COMPRAR MEDICAMENTOS ATIENDE ESTA INDICACIÓN: </strong></p>
<p><strong>NO EXCEDAS SU CONSUMO. LEER INDICACIONES Y CONTRAINDICACIONES. SI LOS SÍNTOMAS PERSISTEN, CONSULTA A TU MÉDICO, NO TE AUTOMEDIQUES.</strong></p>";Abacanavir/Lamivuina;Comprar Trizivir 300/150/300mg X 60 Tabletas En Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Trizivir 300/150/300mg X 60 Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Acetato De Leuprolide 11,25 Mg Vial Rx4;;452000;;400000;;;;;;ASC130;;Asociación De Enfermos De Cáncer;;;;;;5;"<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong>Gracias por visitar farmalisto, la Droguería Virtual #1 en Colombia, sirviendo a nuestros clientes desde hace más de 2 años. Más de 60.000 Clientes ya han comprado con nosotros, una calificación media de <span style=""font-size: 14pt; color: #ff6600;"">4.5/5</span> nos certifica para poder ofrecerte el mejor servicio del país. ¡Pruébanos!</strong></span></p>
<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img title=""Servicio de calidad 100% garantizado"" src=""http://www.farmalisto.com.co/img/cms/envio-express/estrella_calidad.png"" alt=""Servicio de calidad 100% garantizado"" width=""80"" /> <img title=""Miembros de la cámara cololmbiana de comercio electrónico"" src=""http://www.farmalisto.com.co/img/cms/banners/Beneficios/camara-de-comercio-electronico.jpg"" alt=""Miembros de la cámara cololmbiana de comercio electrónico"" /></strong></span></p>
<p style=""text-align: center;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img style=""float: right;"" src=""http://www.farmalisto.com.co/themes/gomarket/img/footer/footer-una-pieza.jpg"" alt="""" height=""20"" /></strong></span></p>";"<p><strong>Tips Farmalisto Para tener en cuenta:</strong><br /><br /><span>Las </span><strong>cápsulas</strong><span> son pequeños envases solubles generalmente fabricados a base de gelatina en cuyo interior se halla la dosis del fármaco que se administrará por vía oral.</span><br /><span>Los </span><strong>comprimidos</strong><span> son formas farmacéuticas sólidas, generalmente redondas, con una dosificación exacta del medicamento contenido en su interior.</span><br /><span>La </span><strong>pastilla</strong><span> es un término coloquial que se le da en a la actualidad a las tabletas y se define como Forma farmacéutica solida de dosificación unitaria, preparadas por moldeo o compresión que contiene principio activo y excipientes.</span></p>
<p><strong>EN CASO DE COMPRAR MEDICAMENTOS ATIENDE ESTA INDICACIÓN: </strong></p>
<p><strong>NO EXCEDAS SU CONSUMO. LEER INDICACIONES Y CONTRAINDICACIONES. SI LOS SÍNTOMAS PERSISTEN, CONSULTA A TU MÉDICO, NO TE AUTOMEDIQUES.</strong></p>";Acetato De Leuprolide;Comprar Acetato De Leuprolide 11,25 Mg Vial En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Acetato De Leuprolide 11,25 Mg Vial Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Recormon Multidosis 50.000 Ui Vial  Rx4;;375160;;332000;;;;;;ASC313;;Asociación De Enfermos De Cáncer;;;;;;5;"<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong>Gracias por visitar farmalisto, la Droguería Virtual #1 en Colombia, sirviendo a nuestros clientes desde hace más de 2 años. Más de 60.000 Clientes ya han comprado con nosotros, una calificación media de <span style=""font-size: 14pt; color: #ff6600;"">4.5/5</span> nos certifica para poder ofrecerte el mejor servicio del país. ¡Pruébanos!</strong></span></p>
<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img title=""Servicio de calidad 100% garantizado"" src=""http://www.farmalisto.com.co/img/cms/envio-express/estrella_calidad.png"" alt=""Servicio de calidad 100% garantizado"" width=""80"" /> <img title=""Miembros de la cámara cololmbiana de comercio electrónico"" src=""http://www.farmalisto.com.co/img/cms/banners/Beneficios/camara-de-comercio-electronico.jpg"" alt=""Miembros de la cámara cololmbiana de comercio electrónico"" /></strong></span></p>
<p style=""text-align: center;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img style=""float: right;"" src=""http://www.farmalisto.com.co/themes/gomarket/img/footer/footer-una-pieza.jpg"" alt="""" height=""20"" /></strong></span></p>";"<p><strong>Tips Farmalisto Para tener en cuenta:</strong><br /><br /><span>Las </span><strong>cápsulas</strong><span> son pequeños envases solubles generalmente fabricados a base de gelatina en cuyo interior se halla la dosis del fármaco que se administrará por vía oral.</span><br /><span>Los </span><strong>comprimidos</strong><span> son formas farmacéuticas sólidas, generalmente redondas, con una dosificación exacta del medicamento contenido en su interior.</span><br /><span>La </span><strong>pastilla</strong><span> es un término coloquial que se le da en a la actualidad a las tabletas y se define como Forma farmacéutica solida de dosificación unitaria, preparadas por moldeo o compresión que contiene principio activo y excipientes.</span></p>
<p><strong>EN CASO DE COMPRAR MEDICAMENTOS ATIENDE ESTA INDICACIÓN: </strong></p>
<p><strong>NO EXCEDAS SU CONSUMO. LEER INDICACIONES Y CONTRAINDICACIONES. SI LOS SÍNTOMAS PERSISTEN, CONSULTA A TU MÉDICO, NO TE AUTOMEDIQUES.</strong></p>";Eritropoyetin;Comprar Recormon Multidosis 50.000 Ui Vial  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Recormon Multidosis 50.000 Ui Vial  Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Atripla 600/200/300mg X 30 Tabletas Rx4;;565000;;500000;;;;;;ASC333;;Asociación De Enfermos De Cáncer;;;;;;5;"<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong>Gracias por visitar farmalisto, la Droguería Virtual #1 en Colombia, sirviendo a nuestros clientes desde hace más de 2 años. Más de 60.000 Clientes ya han comprado con nosotros, una calificación media de <span style=""font-size: 14pt; color: #ff6600;"">4.5/5</span> nos certifica para poder ofrecerte el mejor servicio del país. ¡Pruébanos!</strong></span></p>
<p style=""text-align: right;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img title=""Servicio de calidad 100% garantizado"" src=""http://www.farmalisto.com.co/img/cms/envio-express/estrella_calidad.png"" alt=""Servicio de calidad 100% garantizado"" width=""80"" /> <img title=""Miembros de la cámara cololmbiana de comercio electrónico"" src=""http://www.farmalisto.com.co/img/cms/banners/Beneficios/camara-de-comercio-electronico.jpg"" alt=""Miembros de la cámara cololmbiana de comercio electrónico"" /></strong></span></p>
<p style=""text-align: center;""><span style=""color: #222222; font-family: arial, sans-serif;""><strong><img style=""float: right;"" src=""http://www.farmalisto.com.co/themes/gomarket/img/footer/footer-una-pieza.jpg"" alt="""" height=""20"" /></strong></span></p>";"<p><strong>Tips Farmalisto Para tener en cuenta:</strong><br /><br /><span>Las </span><strong>cápsulas</strong><span> son pequeños envases solubles generalmente fabricados a base de gelatina en cuyo interior se halla la dosis del fármaco que se administrará por vía oral.</span><br /><span>Los </span><strong>comprimidos</strong><span> son formas farmacéuticas sólidas, generalmente redondas, con una dosificación exacta del medicamento contenido en su interior.</span><br /><span>La </span><strong>pastilla</strong><span> es un término coloquial que se le da en a la actualidad a las tabletas y se define como Forma farmacéutica solida de dosificación unitaria, preparadas por moldeo o compresión que contiene principio activo y excipientes.</span></p>
<p><strong>EN CASO DE COMPRAR MEDICAMENTOS ATIENDE ESTA INDICACIÓN: </strong></p>
<p><strong>NO EXCEDAS SU CONSUMO. LEER INDICACIONES Y CONTRAINDICACIONES. SI LOS SÍNTOMAS PERSISTEN, CONSULTA A TU MÉDICO, NO TE AUTOMEDIQUES.</strong></p>";Efa/Emtri/Ten;Comprar Atripla 600/200/300mg X 30 Tabletas En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Atripla 600/200/300mg X 30 Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
